# range: count(ratio) <- integral
0.000000 - 0.020000:    8 (0.008000) <- 0.015177
0.020000 - 0.040000:   10 (0.010000) <- 0.015241
0.040000 - 0.060000:   16 (0.016000) <- 0.015375
0.060000 - 0.080000:   13 (0.013000) <- 0.015487
0.080000 - 0.100000:   19 (0.019000) <- 0.015680
0.100000 - 0.120000:   17 (0.017000) <- 0.016173
0.120000 - 0.140000:   15 (0.015000) <- 0.017323
0.140000 - 0.160000:   21 (0.021000) <- 0.018784
0.160000 - 0.180000:   20 (0.020000) <- 0.020701
0.180000 - 0.200000:   17 (0.017000) <- 0.021815
0.200000 - 0.220000:   30 (0.030000) <- 0.020982
0.220000 - 0.240000:   25 (0.025000) <- 0.019457
0.240000 - 0.260000:   23 (0.023000) <- 0.017524
0.260000 - 0.280000:   11 (0.011000) <- 0.014963
0.280000 - 0.300000:   12 (0.012000) <- 0.012665
0.300000 - 0.320000:   14 (0.014000) <- 0.011622
0.320000 - 0.340000:   14 (0.014000) <- 0.011271
0.340000 - 0.360000:   15 (0.015000) <- 0.011026
0.360000 - 0.380000:   13 (0.013000) <- 0.010887
0.380000 - 0.400000:    8 (0.008000) <- 0.010867
0.400000 - 0.420000:   15 (0.015000) <- 0.011148
0.420000 - 0.440000:   18 (0.018000) <- 0.011820
0.440000 - 0.460000:   13 (0.013000) <- 0.013302
0.460000 - 0.480000:   19 (0.019000) <- 0.016341
0.480000 - 0.500000:   17 (0.017000) <- 0.016826
0.500000 - 0.520000:   21 (0.021000) <- 0.016631
0.520000 - 0.540000:   23 (0.023000) <- 0.016381
0.540000 - 0.560000:   23 (0.023000) <- 0.016136
0.560000 - 0.580000:   31 (0.031000) <- 0.015877
0.580000 - 0.600000:   31 (0.031000) <- 0.015593
0.600000 - 0.620000:   25 (0.025000) <- 0.015185
0.620000 - 0.640000:   26 (0.026000) <- 0.015026
0.640000 - 0.660000:   28 (0.028000) <- 0.015460
0.660000 - 0.680000:   24 (0.024000) <- 0.017116
0.680000 - 0.700000:   28 (0.028000) <- 0.019036
0.700000 - 0.720000:   44 (0.044000) <- 0.020379
0.720000 - 0.740000:   40 (0.040000) <- 0.021135
0.740000 - 0.760000:   26 (0.026000) <- 0.021205
0.760000 - 0.780000:   28 (0.028000) <- 0.020773
0.780000 - 0.800000:   34 (0.034000) <- 0.020075
0.800000 - 0.820000:   26 (0.026000) <- 0.018470
0.820000 - 0.840000:   22 (0.022000) <- 0.014955
0.840000 - 0.860000:   16 (0.016000) <- 0.012369
0.860000 - 0.880000:   25 (0.025000) <- 0.010505
0.880000 - 0.900000:   17 (0.017000) <- 0.008724
0.900000 - 0.920000:   13 (0.013000) <- 0.007352
0.920000 - 0.940000:   14 (0.014000) <- 0.006215
0.940000 - 0.960000:    9 (0.009000) <- 0.005268
0.960000 - 0.980000:    6 (0.006000) <- 0.004504
0.980000 - 1.000000:   17 (0.017000) <- 0.005070
